Kód kraja,Názov kraja,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platných hlasov,Podiel platných hlasov z platných hlasov pre všetkých kandidátov v %,"Poèet platných hlasov v mestách a mestských èastiach","Podiel platných hlasov v mestách a mestských èastiach v %","Poèet platných hlasov v obciach","Podiel platných hlasov v obciach v %",Kandidát
1,Bratislavský kraj,1,Béla,Bugár, 4 130,1.22, 2 797,1.02, 1 333,2.05,
1,Bratislavský kraj,2,Zuzana,Èaputová, 201 363,59.65, 166 312,60.98, 35 051,54.06,
1,Bratislavský kraj,3,Martin,Daòo, 1 340,0.39, 1 057,0.38,  283,0.43,
1,Bratislavský kraj,4,Štefan,Harabin, 34 525,10.22, 27 161,9.95, 7 364,11.35,
1,Bratislavský kraj,5,Eduard,Chmelár, 9 100,2.69, 7 385,2.70, 1 715,2.64,
1,Bratislavský kraj,6,Marian,Kotleba, 15 713,4.65, 10 976,4.02, 4 737,7.30,
1,Bratislavský kraj,7,Milan,Krajniak, 6 213,1.84, 4 689,1.71, 1 524,2.35,
1,Bratislavský kraj,8,József,Menyhárt,  45,0.01,  28,0.01,  17,0.02,X
1,Bratislavský kraj,9,František,Mikloško, 16 543,4.90, 13 550,4.96, 2 993,4.61,
1,Bratislavský kraj,10,Robert,Mistrík,  302,0.08,  220,0.08,  82,0.12,X
1,Bratislavský kraj,11,Maroš,Šefèoviè, 45 824,13.57, 36 629,13.43, 9 195,14.18,
1,Bratislavský kraj,12,Róbert,Švec,  542,0.16,  403,0.14,  139,0.21,
1,Bratislavský kraj,13,Bohumila,Tauchmannová,  485,0.14,  385,0.14,  100,0.15,
1,Bratislavský kraj,14,Juraj,Zábojník,  857,0.25,  685,0.25,  172,0.26,
1,Bratislavský kraj,15,Ivan,Zuzula,  576,0.17,  445,0.16,  131,0.20,
2,Trnavský kraj,1,Béla,Bugár, 13 567,6.19, 4 002,3.82, 9 565,8.35,
2,Trnavský kraj,2,Zuzana,Èaputová, 99 298,45.32, 50 151,47.92, 49 147,42.94,
2,Trnavský kraj,3,Martin,Daòo, 1 034,0.47,  500,0.47,  534,0.46,
2,Trnavský kraj,4,Štefan,Harabin, 26 253,11.98, 12 467,11.91, 13 786,12.04,
2,Trnavský kraj,5,Eduard,Chmelár, 6 006,2.74, 3 243,3.09, 2 763,2.41,
2,Trnavský kraj,6,Marian,Kotleba, 20 169,9.20, 8 722,8.33, 11 447,10.00,
2,Trnavský kraj,7,Milan,Krajniak, 5 450,2.48, 2 572,2.45, 2 878,2.51,
