Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %",Kandidát
1,Bratislavskı kraj,101,Bratislava,1,Béla,Bugár, 2 335,1.00, 2 335,1.00,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,2,Zuzana,Èaputová, 142 299,61.52, 142 299,61.52,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,3,Martin,Daòo,  913,0.39,  913,0.39,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,4,Štefan,Harabin, 22 674,9.80, 22 674,9.80,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,5,Eduard,Chmelár, 5 999,2.59, 5 999,2.59,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,6,Marian,Kotleba, 8 505,3.67, 8 505,3.67,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,7,Milan,Krajniak, 3 850,1.66, 3 850,1.66,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,8,József,Menyhárt,  25,0.01,  25,0.01,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,9,František,Mikloško, 11 816,5.10, 11 816,5.10,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,10,Robert,Mistrík,  176,0.07,  176,0.07,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,11,Maroš,Šefèoviè, 31 075,13.43, 31 075,13.43,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,12,Róbert,Švec,  326,0.14,  326,0.14,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,13,Bohumila,Tauchmannová,  320,0.13,  320,0.13,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,14,Juraj,Zábojník,  594,0.25,  594,0.25,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,15,Ivan,Zuzula,  386,0.16,  386,0.16,  0,0.00,
1,Bratislavskı kraj,102,Malacky,1,Béla,Bugár,  285,0.90,  115,0.86,  170,0.93,
1,Bratislavskı kraj,102,Malacky,2,Zuzana,Èaputová, 15 864,50.48, 7 160,53.72, 8 704,48.09,
1,Bratislavskı kraj,102,Malacky,3,Martin,Daòo,  134,0.42,  53,0.39,  81,0.44,
1,Bratislavskı kraj,102,Malacky,4,Štefan,Harabin, 3 794,12.07, 1 528,11.46, 2 266,12.52,
1,Bratislavskı kraj,102,Malacky,5,Eduard,Chmelár,  847,2.69,  414,3.10,  433,2.39,
1,Bratislavskı kraj,102,Malacky,6,Marian,Kotleba, 2 966,9.43, 1 059,7.94, 1 907,10.53,
1,Bratislavskı kraj,102,Malacky,7,Milan,Krajniak,  821,2.61,  309,2.31,  512,2.82,
1,Bratislavskı kraj,102,Malacky,8,József,Menyhárt,  5,0.01,  1,0.00,  4,0.02,X
1,Bratislavskı kraj,102,Malacky,9,František,Mikloško, 1 135,3.61,  506,3.79,  629,3.47,
1,Bratislavskı kraj,102,Malacky,10,Robert,Mistrík,  44,0.14,  23,0.17,  21,0.11,X
1,Bratislavskı kraj,102,Malacky,11,Maroš,Šefèoviè, 5 231,16.64, 2 042,15.32, 3 189,17.62,
1,Bratislavskı kraj,102,Malacky,12,Róbert,Švec,  71,0.22,  26,0.19,  45,0.24,
1,Bratislavskı kraj,102,Malacky,13,Bohumila,Tauchmannová,  41,0.13,  20,0.15,  21,0.11,
1,Bratislavskı kraj,102,Malacky,14,Juraj,Zábojník,  116,0.36,  45,0.33,  71,0.39,
1,Bratislavskı kraj,102,Malacky,15,Ivan,Zuzula,  71,0.22,  27,0.20,  44,0.24,
1,Bratislavskı kraj,103,Pezinok,1,Béla,Bugár,  178,0.53,  100,0.50,  78,0.57,
1,Bratislavskı kraj,103,Pezinok,2,Zuzana,Èaputová, 19 301,57.60, 12 328,61.80, 6 973,51.41,
1,Bratislavskı kraj,103,Pezinok,3,Martin,Daòo,  104,0.31,  47,0.23,  57,0.42,
1,Bratislavskı kraj,103,Pezinok,4,Štefan,Harabin, 3 821,11.40, 2 095,10.50, 1 726,12.72,
1,Bratislavskı kraj,103,Pezinok,5,Eduard,Chmelár, 1 116,3.33,  699,3.50,  417,3.07,
1,Bratislavskı kraj,103,Pezinok,6,Marian,Kotleba, 2 112,6.30,  995,4.98, 1 117,8.23,
1,Bratislavskı kraj,103,Pezinok,7,Milan,Krajniak,  563,1.68,  310,1.55,  253,1.86,
1,Bratislavskı kraj,103,Pezinok,8,József,Menyhárt,  2,0.00,  2,0.01,  0,0.00,X
1,Bratislavskı kraj,103,Pezinok,9,František,Mikloško, 1 456,4.34,  803,4.02,  653,4.81,
1,Bratislavskı kraj,103,Pezinok,10,Robert,Mistrík,  38,0.11,  13,0.06,  25,0.18,X
1,Bratislavskı kraj,103,Pezinok,11,Maroš,Šefèoviè, 4 589,13.69, 2 438,12.22, 2 151,15.85,
1,Bratislavskı kraj,103,Pezinok,12,Róbert,Švec,  78,0.23,  36,0.18,  42,0.30,
1,Bratislavskı kraj,103,Pezinok,13,Bohumila,Tauchmannová,  48,0.14,  29,0.14,  19,0.14,
1,Bratislavskı kraj,103,Pezinok,14,Juraj,Zábojník,  51,0.15,  25,0.12,  26,0.19,
1,Bratislavskı kraj,103,Pezinok,15,Ivan,Zuzula,  51,0.15,  25,0.12,  26,0.19,
1,Bratislavskı kraj,104,Senec,1,Béla,Bugár, 1 332,3.22,  247,3.02, 1 085,3.27,
1,Bratislavskı kraj,104,Senec,2,Zuzana,Èaputová, 23 899,57.82, 4 525,55.48, 19 374,58.39,
1,Bratislavskı kraj,104,Senec,3,Martin,Daòo,  189,0.45,  44,0.53,  145,0.43,
1,Bratislavskı kraj,104,Senec,4,Štefan,Harabin, 4 236,10.24,  864,10.59, 3 372,10.16,
1,Bratislavskı kraj,104,Senec,5,Eduard,Chmelár, 1 138,2.75,  273,3.34,  865,2.60,
1,Bratislavskı kraj,104,Senec,6,Marian,Kotleba, 2 130,5.15,  417,5.11, 1 713,5.16,
1,Bratislavskı kraj,104,Senec,7,Milan,Krajniak,  979,2.36,  220,2.69,  759,2.28,
1,Bratislavskı kraj,104,Senec,8,József,Menyhárt,  13,0.03,  0,0.00,  13,0.03,X
1,Bratislavskı kraj,104,Senec,9,František,Mikloško, 2 136,5.16,  425,5.21, 1 711,5.15,
1,Bratislavskı kraj,104,Senec,10,Robert,Mistrík,  44,0.10,  8,0.09,  36,0.10,X
1,Bratislavskı kraj,104,Senec,11,Maroš,Šefèoviè, 4 929,11.92, 1 074,13.16, 3 855,11.61,
1,Bratislavskı kraj,104,Senec,12,Róbert,Švec,  67,0.16,  15,0.18,  52,0.15,
1,Bratislavskı kraj,104,Senec,13,Bohumila,Tauchmannová,  76,0.18,  16,0.19,  60,0.18,
1,Bratislavskı kraj,104,Senec,14,Juraj,Zábojník,  96,0.23,  21,0.25,  75,0.22,
1,Bratislavskı kraj,104,Senec,15,Ivan,Zuzula,  68,0.16,  7,0.08,  61,0.18,
2,Trnavskı kraj,201,Dunajská Streda,1,Béla,Bugár, 8 677,25.25, 2 802,20.34, 5 875,28.54,
