Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %",Kandidát
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,1,Béla,Bugár,  172,0.69,  172,0.69,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,2,Zuzana,Èaputová, 16 616,66.90, 16 616,66.90,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,3,Martin,Daòo,  64,0.25,  64,0.25,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,4,Štefan,Harabin, 1 999,8.04, 1 999,8.04,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,5,Eduard,Chmelár,  540,2.17,  540,2.17,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,6,Marian,Kotleba,  545,2.19,  545,2.19,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,7,Milan,Krajniak,  382,1.53,  382,1.53,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,8,József,Menyhárt,  2,0.00,  2,0.00,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,9,František,Mikloško, 1 636,6.58, 1 636,6.58,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,10,Robert,Mistrík,  13,0.05,  13,0.05,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,11,Maroš,Šefèoviè, 2 748,11.06, 2 748,11.06,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,12,Róbert,Švec,  26,0.10,  26,0.10,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,13,Bohumila,Tauchmannová,  36,0.14,  36,0.14,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,14,Juraj,Zábojník,  29,0.11,  29,0.11,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,15,Ivan,Zuzula,  28,0.11,  28,0.11,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,1,Béla,Bugár,  800,1.34,  800,1.34,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,2,Zuzana,Èaputová, 36 930,61.92, 36 930,61.92,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,3,Martin,Daòo,  255,0.42,  255,0.42,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,4,Štefan,Harabin, 5 753,9.64, 5 753,9.64,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,5,Eduard,Chmelár, 1 467,2.45, 1 467,2.45,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,6,Marian,Kotleba, 2 165,3.63, 2 165,3.63,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,7,Milan,Krajniak,  990,1.65,  990,1.65,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,8,József,Menyhárt,  10,0.01,  10,0.01,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,9,František,Mikloško, 2 840,4.76, 2 840,4.76,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,10,Robert,Mistrík,  38,0.06,  38,0.06,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,11,Maroš,Šefèoviè, 8 029,13.46, 8 029,13.46,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,12,Róbert,Švec,  75,0.12,  75,0.12,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,13,Bohumila,Tauchmannová,  72,0.12,  72,0.12,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,14,Juraj,Zábojník,  116,0.19,  116,0.19,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,15,Ivan,Zuzula,  99,0.16,  99,0.16,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,1,Béla,Bugár,  326,0.90,  326,0.90,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,2,Zuzana,Èaputová, 22 555,62.30, 22 555,62.30,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,3,Martin,Daòo,  147,0.40,  147,0.40,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,4,Štefan,Harabin, 3 480,9.61, 3 480,9.61,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,5,Eduard,Chmelár,  974,2.69,  974,2.69,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,6,Marian,Kotleba, 1 213,3.35, 1 213,3.35,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,7,Milan,Krajniak,  550,1.51,  550,1.51,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,8,József,Menyhárt,  3,0.00,  3,0.00,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,9,František,Mikloško, 1 776,4.90, 1 776,4.90,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,10,Robert,Mistrík,  40,0.11,  40,0.11,  0,0.00,X
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,11,Maroš,Šefèoviè, 4 901,13.53, 4 901,13.53,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,12,Róbert,Švec,  44,0.12,  44,0.12,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,13,Bohumila,Tauchmannová,  57,0.15,  57,0.15,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,14,Juraj,Zábojník,  91,0.25,  91,0.25,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,15,Ivan,Zuzula,  45,0.12,  45,0.12,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,1,Béla,Bugár,  407,0.77,  407,0.77,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,2,Zuzana,Èaputová, 31 622,60.26, 31 622,60.26,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,3,Martin,Daòo,  188,0.35,  188,0.35,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,4,Štefan,Harabin, 5 201,9.91, 5 201,9.91,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,5,Eduard,Chmelár, 1 408,2.68, 1 408,2.68,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,6,Marian,Kotleba, 2 041,3.88, 2 041,3.88,  0,0.00,
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,7,Milan,Krajniak,  854,1.62,  854,1.62,  0,0.00,
