Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,Kandidát
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,Béla,Bugár,  172,0.69,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,Zuzana,Èaputová, 16 616,66.90,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,3,Martin,Daòo,  64,0.25,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,4,Štefan,Harabin, 1 999,8.04,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,5,Eduard,Chmelár,  540,2.17,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,6,Marian,Kotleba,  545,2.19,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,7,Milan,Krajniak,  382,1.53,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,8,József,Menyhárt,  2,0.00,X
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,9,František,Mikloško, 1 636,6.58,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,10,Robert,Mistrík,  13,0.05,X
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,11,Maroš,Šefèoviè, 2 748,11.06,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,12,Róbert,Švec,  26,0.10,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,13,Bohumila,Tauchmannová,  36,0.14,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,14,Juraj,Zábojník,  29,0.11,
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,15,Ivan,Zuzula,  28,0.11,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,1,Béla,Bugár,  287,2.79,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2,Zuzana,Èaputová, 5 948,57.91,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,3,Martin,Daòo,  56,0.54,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,4,Štefan,Harabin, 1 154,11.23,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,5,Eduard,Chmelár,  217,2.11,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,6,Marian,Kotleba,  485,4.72,
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,7,Milan,Krajniak,  205,1.99,
