Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Obec trvalého pobytu,Poznámka
1,Béla,Bugár,Ing.,60,poslanec Národnej rady Slovenskej republiky,Šamorín,
2,Zuzana,Èaputová,Mgr.,45,advokátka,Pezinok,postupujúci
3,Martin,Daòo,,42,novinár,Bratislava,
4,Štefan,Harabin,JUDr.,61,sudca Najvyššieho súdu Slovenskej republiky,Bratislava,
5,Eduard,Chmelár,"doc. Mgr., PhD.",47,vysokoškolský pedagóg,Galanta,
6,Marian,Kotleba,Ing. Mgr.,41,poslanec Národnej rady Slovenskej republiky,Banská Bystrica,
7,Milan,Krajniak,Bc.,46,poslanec Národnej rady Slovenskej republiky,Bratislava,
8,József,Menyhárt,"PaedDr., PhD.",42,predseda politickej strany,Vrakúò,X
9,František,Mikloško,RNDr.,71,publicista,Bratislava,
10,Robert,Mistrík,Dr. Ing.,52,vedec,Bratislava,X
11,Maroš,Šefèoviè,"JUDr., PhD.",52,podpredseda Európskej komisie pre energetickú úniu,Bratislava,postupujúci
12,Róbert,Švec,Mgr.,42,politológ,Nitra,
13,Bohumila,Tauchmannová,Ing.,60,podnikate¾ka,Bratislava,
14,Juraj,Zábojník,"Dr. Ing., PhD.",56,bezpeènostný analytik,Bratislava,
15,Ivan,Zuzula,"RNDr., CSc.",64,vysokoškolský pedagóg,Bratislava,
