Názov súboru,Názov tabu¾ky
PRE_2019_tab0a,Zoznam kandidátov na prezidenta Slovenskej republiky
PRE_2019_tab0c,Územné èlenenie
PRE_2019_KOLO1_tab01,Súhrnné výsledky hlasovania za SR
PRE_2019_KOLO1_tab02a,Súhrnné výsledky hlasovania za kraje
PRE_2019_KOLO1_tab02b,Súhrnné výsledky hlasovania za územné obvody
PRE_2019_KOLO1_tab02c,Súhrnné výsledky hlasovania za okresy
PRE_2019_KOLO1_tab02d,Súhrnné výsledky hlasovania za obce
PRE_2019_KOLO1_tab02e,Súhrnné výsledky hlasovania za okrsky 
PRE_2019_KOLO1_tab02x,"Súhrnné výsledky hlasovania za mestá, mestské èasti a obce"
PRE_2019_KOLO1_tab03ax,Poèet oprávnených volièov a platných hlasov všetkých kandidátov za SR
PRE_2019_KOLO1_tab03a,Poèet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za SR
PRE_2019_KOLO1_tab03b,Poèet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za kraje
PRE_2019_KOLO1_tab03c,Poèet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za územné obvody
PRE_2019_KOLO1_tab03d,Poèet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za okresy
PRE_2019_KOLO1_tab03e,Poèet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za obce
PRE_2019_KOLO1_tab03f,Poèet a podiel platných hlasov odovzdaných pre kandidátov na prezidenta Slovenskej republiky za okrsky
