Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Poèet okrskov,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok, Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
1,Bratislavskı kraj,101,Bratislava,  361, 389 677, 218 500,56.07, 218 423,99.96, 215 260,98.55
1,Bratislavskı kraj,102,Malacky,  54, 61 406, 27 722,45.14, 27 718,99.98, 27 247,98.30
1,Bratislavskı kraj,103,Pezinok,  53, 54 152, 30 243,55.84, 30 232,99.96, 29 770,98.47
1,Bratislavskı kraj,104,Senec,  68, 69 056, 37 470,54.26, 37 463,99.98, 36 841,98.33
2,Trnavskı kraj,201,Dunajská Streda,  123, 101 890, 31 137,30.55, 31 125,99.96, 30 749,98.79
2,Trnavskı kraj,202,Galanta,  84, 78 671, 29 285,37.22, 29 282,99.98, 28 840,98.49
2,Trnavskı kraj,203,Piešany,  63, 52 949, 24 575,46.41, 24 570,99.97, 24 071,97.96
2,Trnavskı kraj,204,Senica,  95, 89 737, 38 914,43.36, 38 911,99.99, 38 242,98.28
2,Trnavskı kraj,205,Trnava,  162, 144 593, 66 960,46.30, 66 955,99.99, 65 666,98.07
3,Trenèiansky kraj,301,Bánovce nad Bebravou,  62, 29 996, 13 426,44.75, 13 423,99.97, 13 162,98.05
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,  97, 73 741, 34 502,46.78, 34 499,99.99, 33 771,97.88
3,Trenèiansky kraj,303,Povaská Bystrica,  121, 88 633, 39 206,44.23, 39 197,99.97, 38 353,97.84
3,Trenèiansky kraj,304,Prievidza,  190, 149 488, 66 116,44.22, 66 109,99.98, 64 793,98.00
3,Trenèiansky kraj,305,Trenèín,  175, 143 096, 69 026,48.23, 69 017,99.98, 67 440,97.71
4,Nitriansky kraj,401,Komárno,  108, 84 973, 20 775,24.44, 20 775,100.00, 20 476,98.56
4,Nitriansky kraj,402,Levice,  162, 92 720, 34 558,37.27, 34 556,99.99, 33 956,98.26
4,Nitriansky kraj,403,Nitra,  207, 170 232, 75 173,44.15, 75 170,99.99, 73 852,98.24
4,Nitriansky kraj,404,Nové Zámky,  142, 117 209, 41 169,35.12, 41 166,99.99, 40 541,98.48
4,Nitriansky kraj,405,Ša¾a,  43, 42 851, 15 438,36.02, 15 436,99.98, 15 221,98.60
4,Nitriansky kraj,406,Topo¾èany,  88, 59 842, 25 526,42.65, 25 525,99.99, 25 105,98.35
5,ilinskı kraj,501,Èadca,  77, 72 943, 28 232,38.70, 28 228,99.98, 27 683,98.06
5,ilinskı kraj,502,Dolnı Kubín,  41, 31 272, 14 257,45.59, 14 255,99.98, 13 759,96.52
