Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poèet okrskov ,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok,Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,34, 39 060, 24 191,61.93, 24 183,99.96, 23 847,98.61
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,20, 19 882, 9 442,47.49, 9 429,99.86, 9 314,98.78
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,70, 66 102, 38 489,58.22, 38 479,99.97, 37 929,98.57
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuòa,19, 17 351, 8 144,46.93, 8 143,99.98, 8 015,98.42
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,45, 34 914, 20 758,59.45, 20 750,99.96, 20 443,98.52
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Raèa,18, 19 908, 11 173,56.12, 11 171,99.98, 11 008,98.54
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,5, 4 641, 2 678,57.70, 2 678,100.00, 2 642,98.65
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,2, 1 429,  902,63.12,  902,100.00,  877,97.22
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,14, 14 090, 7 509,53.29, 7 507,99.97, 7 382,98.33
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,31, 31 022, 16 404,52.87, 16 400,99.97, 16 151,98.48
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,30, 29 833, 17 662,59.20, 17 661,99.99, 17 412,98.59
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamaè,6, 6 145, 3 781,61.52, 3 781,100.00, 3 703,97.93
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,4, 4 358, 2 834,65.02, 2 834,100.00, 2 800,98.80
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Èunovo,2, 1 201,  826,68.77,  826,100.00,  815,98.66
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,2, 2 097, 1 397,66.61, 1 397,100.00, 1 380,98.78
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petralka,56, 94 269, 50 162,53.21, 50 134,99.94, 49 417,98.56
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,3, 3 375, 2 148,63.64, 2 148,100.00, 2 125,98.92
1,Bratislavskı kraj,102,Malacky,106,Malacky,507831,Borinka,1,  661,  388,58.69,  388,100.00,  380,97.93
