Kód kraja,Názov kraja,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platných hlasov,Podiel platných hlasov z platných hlasov pre všetkých kandidátov v %,"Poèet platných hlasov v mestách a mestských èastiach","Podiel platných hlasov v mestách a mestských èastiach v %","Poèet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
1,Bratislavský kraj,1,Zuzana,Èaputová, 227 954,73.74, 187 544,74.36, 40 410,70.96
1,Bratislavský kraj,2,Maroš,Šefèoviè, 81 164,26.25, 64 633,25.63, 16 531,29.03
2,Trnavský kraj,1,Zuzana,Èaputová, 123 198,65.68, 60 691,66.64, 62 507,64.77
2,Trnavský kraj,2,Maroš,Šefèoviè, 64 370,34.31, 30 381,33.35, 33 989,35.22
3,Trenèiansky kraj,1,Zuzana,Èaputová, 112 442,51.69, 66 327,55.75, 46 115,46.79
3,Trenèiansky kraj,2,Maroš,Šefèoviè, 105 077,48.30, 52 645,44.24, 52 432,53.20
4,Nitriansky kraj,1,Zuzana,Èaputová, 121 449,58.06, 63 386,62.29, 58 063,54.06
4,Nitriansky kraj,2,Maroš,Šefèoviè, 87 702,41.93, 38 367,37.70, 49 335,45.93
5,Žilinský kraj,1,Zuzana,Èaputová, 123 803,50.96, 68 078,55.12, 55 725,46.67
5,Žilinský kraj,2,Maroš,Šefèoviè, 119 093,49.03, 55 429,44.87, 63 664,53.32
6,Banskobystrický kraj,1,Zuzana,Èaputová, 107 367,55.51, 62 413,58.61, 44 954,51.72
6,Banskobystrický kraj,2,Maroš,Šefèoviè, 86 023,44.48, 44 072,41.38, 41 951,48.27
7,Prešovský kraj,1,Zuzana,Èaputová, 114 763,48.96, 64 782,54.82, 49 981,43.01
7,Prešovský kraj,2,Maroš,Šefèoviè, 119 596,51.03, 53 390,45.17, 66 206,56.98
8,Košický kraj,1,Zuzana,Èaputová, 125 606,58.42, 80 931,62.54, 44 675,52.19
8,Košický kraj,2,Maroš,Šefèoviè, 89 378,41.57, 48 466,37.45, 40 912,47.80
