Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %"
1,Bratislavskı kraj,101,Bratislava,1,Zuzana,Èaputová, 160 616,74.61, 160 616,74.61,  0,0.00
1,Bratislavskı kraj,101,Bratislava,2,Maroš,Šefèoviè, 54 644,25.38, 54 644,25.38,  0,0.00
1,Bratislavskı kraj,102,Malacky,1,Zuzana,Èaputová, 18 196,66.78, 8 151,69.91, 10 045,64.43
1,Bratislavskı kraj,102,Malacky,2,Maroš,Šefèoviè, 9 051,33.21, 3 507,30.08, 5 544,35.56
1,Bratislavskı kraj,103,Pezinok,1,Zuzana,Èaputová, 21 414,71.93, 13 498,74.83, 7 916,67.46
1,Bratislavskı kraj,103,Pezinok,2,Maroš,Šefèoviè, 8 356,28.06, 4 538,25.16, 3 818,32.53
1,Bratislavskı kraj,104,Senec,1,Zuzana,Èaputová, 27 728,75.26, 5 279,73.08, 22 449,75.79
1,Bratislavskı kraj,104,Senec,2,Maroš,Šefèoviè, 9 113,24.73, 1 944,26.91, 7 169,24.20
2,Trnavskı kraj,201,Dunajská Streda,1,Zuzana,Èaputová, 25 813,83.94, 10 672,83.97, 15 141,83.93
2,Trnavskı kraj,201,Dunajská Streda,2,Maroš,Šefèoviè, 4 936,16.05, 2 037,16.02, 2 899,16.06
2,Trnavskı kraj,202,Galanta,1,Zuzana,Èaputová, 19 686,68.25, 7 914,65.91, 11 772,69.93
2,Trnavskı kraj,202,Galanta,2,Maroš,Šefèoviè, 9 154,31.74, 4 093,34.08, 5 061,30.06
2,Trnavskı kraj,203,Piešany,1,Zuzana,Èaputová, 14 451,60.03, 8 767,63.99, 5 684,54.80
2,Trnavskı kraj,203,Piešany,2,Maroš,Šefèoviè, 9 620,39.96, 4 933,36.00, 4 687,45.19
2,Trnavskı kraj,204,Senica,1,Zuzana,Èaputová, 24 652,64.46, 12 855,66.47, 11 797,62.40
2,Trnavskı kraj,204,Senica,2,Maroš,Šefèoviè, 13 590,35.53, 6 482,33.52, 7 108,37.59
2,Trnavskı kraj,205,Trnava,1,Zuzana,Èaputová, 38 596,58.77, 20 483,61.47, 18 113,55.99
