Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %"
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,1,Zuzana,Èaputová, 18 921,79.34, 18 921,79.34,  0,0.00
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,2,Maroš,Šefèoviè, 4 926,20.65, 4 926,20.65,  0,0.00
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,1,Zuzana,Èaputová, 41 627,75.33, 41 627,75.33,  0,0.00
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,2,Maroš,Šefèoviè, 13 631,24.66, 13 631,24.66,  0,0.00
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,1,Zuzana,Èaputová, 25 393,74.48, 25 393,74.48,  0,0.00
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,2,Maroš,Šefèoviè, 8 700,25.51, 8 700,25.51,  0,0.00
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,1,Zuzana,Èaputová, 35 425,73.30, 35 425,73.30,  0,0.00
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,2,Maroš,Šefèoviè, 12 900,26.69, 12 900,26.69,  0,0.00
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,1,Zuzana,Èaputová, 39 250,73.04, 39 250,73.04,  0,0.00
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,2,Maroš,Šefèoviè, 14 487,26.95, 14 487,26.95,  0,0.00
1,Bratislavskı kraj,102,Malacky,106,Malacky,1,Zuzana,Èaputová, 18 196,66.78, 8 151,69.91, 10 045,64.43
1,Bratislavskı kraj,102,Malacky,106,Malacky,2,Maroš,Šefèoviè, 9 051,33.21, 3 507,30.08, 5 544,35.56
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,1,Zuzana,Èaputová, 21 414,71.93, 13 498,74.83, 7 916,67.46
1,Bratislavskı kraj,103,Pezinok,107,Pezinok,2,Maroš,Šefèoviè, 8 356,28.06, 4 538,25.16, 3 818,32.53
1,Bratislavskı kraj,104,Senec,108,Senec,1,Zuzana,Èaputová, 27 728,75.26, 5 279,73.08, 22 449,75.79
1,Bratislavskı kraj,104,Senec,108,Senec,2,Maroš,Šefèoviè, 9 113,24.73, 1 944,26.91, 7 169,24.20
