Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,Zuzana,Èaputová, 18 921,79.34
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,Maroš,Šefèoviè, 4 926,20.65
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,1,Zuzana,Èaputová, 6 839,73.42
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2,Maroš,Šefèoviè, 2 475,26.57
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,1,Zuzana,Èaputová, 28 874,76.12
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ruinov,2,Maroš,Šefèoviè, 9 055,23.87
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuòa,1,Zuzana,Èaputová, 5 914,73.78
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuòa,2,Maroš,Šefèoviè, 2 101,26.21
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,1,Zuzana,Èaputová, 15 626,76.43
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,2,Maroš,Šefèoviè, 4 817,23.56
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Raèa,1,Zuzana,Èaputová, 7 824,71.07
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Raèa,2,Maroš,Šefèoviè, 3 184,28.92
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,1,Zuzana,Èaputová, 1 943,73.54
1,Bratislavskı kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,2,Maroš,Šefèoviè,  699,26.45
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,1,Zuzana,Èaputová,  703,80.15
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,2,Maroš,Šefèoviè,  174,19.84
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,1,Zuzana,Èaputová, 5 612,76.02
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,2,Maroš,Šefèoviè, 1 770,23.97
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,1,Zuzana,Èaputová, 11 320,70.08
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,2,Maroš,Šefèoviè, 4 831,29.91
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,1,Zuzana,Èaputová, 13 075,75.09
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,2,Maroš,Šefèoviè, 4 337,24.90
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamaè,1,Zuzana,Èaputová, 2 558,69.07
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamaè,2,Maroš,Šefèoviè, 1 145,30.92
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,1,Zuzana,Èaputová, 2 157,77.03
1,Bratislavskı kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,2,Maroš,Šefèoviè,  643,22.96
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Èunovo,1,Zuzana,Èaputová,  663,81.34
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Èunovo,2,Maroš,Šefèoviè,  152,18.65
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,1,Zuzana,Èaputová, 1 109,80.36
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,2,Maroš,Šefèoviè,  271,19.63
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petralka,1,Zuzana,Èaputová, 35 735,72.31
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petralka,2,Maroš,Šefèoviè, 13 682,27.68
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,1,Zuzana,Èaputová, 1 743,82.02
1,Bratislavskı kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,2,Maroš,Šefèoviè,  382,17.97
1,Bratislavskı kraj,102,Malacky,106,Malacky,507831,Borinka,1,Zuzana,Èaputová,  300,78.94
1,Bratislavskı kraj,102,Malacky,106,Malacky,507831,Borinka,2,Maroš,Šefèoviè,  80,21.05
1,Bratislavskı kraj,102,Malacky,106,Malacky,507890,Gajary,1,Zuzana,Èaputová,  467,57.65
1,Bratislavskı kraj,102,Malacky,106,Malacky,507890,Gajary,2,Maroš,Šefèoviè,  343,42.34
1,Bratislavskı kraj,102,Malacky,106,Malacky,507954,Jablonové,1,Zuzana,Èaputová,  367,66.36
1,Bratislavskı kraj,102,Malacky,106,Malacky,507954,Jablonové,2,Maroš,Šefèoviè,  186,33.63
1,Bratislavskı kraj,102,Malacky,106,Malacky,507962,Jakubov,1,Zuzana,Èaputová,  362,62.62
1,Bratislavskı kraj,102,Malacky,106,Malacky,507962,Jakubov,2,Maroš,Šefèoviè,  216,37.37
1,Bratislavskı kraj,102,Malacky,106,Malacky,508012,Kostolište,1,Zuzana,Èaputová,  397,67.63
1,Bratislavskı kraj,102,Malacky,106,Malacky,508012,Kostolište,2,Maroš,Šefèoviè,  190,32.36
1,Bratislavskı kraj,102,Malacky,106,Malacky,508021,Kuchyòa,1,Zuzana,Èaputová,  380,62.29
1,Bratislavskı kraj,102,Malacky,106,Malacky,508021,Kuchyòa,2,Maroš,Šefèoviè,  230,37.70
1,Bratislavskı kraj,102,Malacky,106,Malacky,508039,Láb,1,Zuzana,Èaputová,  499,68.26
1,Bratislavskı kraj,102,Malacky,106,Malacky,508039,Láb,2,Maroš,Šefèoviè,  232,31.73
1,Bratislavskı kraj,102,Malacky,106,Malacky,508055,Lozorno,1,Zuzana,Èaputová,  882,77.57
1,Bratislavskı kraj,102,Malacky,106,Malacky,508055,Lozorno,2,Maroš,Šefèoviè,  255,22.42
1,Bratislavskı kraj,102,Malacky,106,Malacky,508063,Malacky,1,Zuzana,Èaputová, 4 244,64.58
1,Bratislavskı kraj,102,Malacky,106,Malacky,508063,Malacky,2,Maroš,Šefèoviè, 2 327,35.41
1,Bratislavskı kraj,102,Malacky,106,Malacky,504556,Malé Leváre,1,Zuzana,Èaputová,  226,62.77
1,Bratislavskı kraj,102,Malacky,106,Malacky,504556,Malé Leváre,2,Maroš,Šefèoviè,  134,37.22
