Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Okrsok,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,1,Zuzana,Èaputová,  644,83.85
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,2,Maroš,Šefèoviè,  124,16.14
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,1,Zuzana,Èaputová,  540,77.14
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,2,Maroš,Šefèoviè,  160,22.85
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,3,1,Zuzana,Èaputová,  513,79.78
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,3,2,Maroš,Šefèoviè,  130,20.21
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,4,1,Zuzana,Èaputová,  501,79.77
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,4,2,Maroš,Šefèoviè,  127,20.22
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,5,1,Zuzana,Èaputová,  572,84.24
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,5,2,Maroš,Šefèoviè,  107,15.75
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,6,1,Zuzana,Èaputová,  560,78.54
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,6,2,Maroš,Šefèoviè,  153,21.45
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,7,1,Zuzana,Èaputová,  657,81.11
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,7,2,Maroš,Šefèoviè,  153,18.88
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,8,1,Zuzana,Èaputová,  542,74.45
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,8,2,Maroš,Šefèoviè,  186,25.54
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,9,1,Zuzana,Èaputová,  607,83.37
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,9,2,Maroš,Šefèoviè,  121,16.62
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,10,1,Zuzana,Èaputová,  864,79.85
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,10,2,Maroš,Šefèoviè,  218,20.14
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,11,1,Zuzana,Èaputová,  610,78.81
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,11,2,Maroš,Šefèoviè,  164,21.18
1,Bratislavskı kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,12,1,Zuzana,Èaputová,  445,74.78
